,Unnamed: 0,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
17997,17997,836.9,650.2119999999999,216.9635333333333,0.2888422173761562,33.75966666666667
21561,21561,836.9,650.2119999999999,216.9635333333333,0.2888422173761562,33.75966666666667
19797,19797,836.9,650.2119999999999,216.9635333333333,0.3080391253189781,33.75966666666667
20553,20553,836.9,650.2119999999999,216.9635333333333,0.3048396406618411,33.75966666666667
20121,20121,836.9,650.2119999999999,216.9635333333333,0.3016401560047043,33.75966666666667
21165,21165,836.9,650.2119999999999,216.9635333333333,0.2888422173761562,33.75966666666667
17637,17637,836.9,650.2119999999999,216.9635333333333,0.2920417020332932,33.75966666666667
20157,20157,836.9,650.2119999999999,216.9635333333333,0.3048396406618411,33.75966666666667
18285,18285,836.9,650.2119999999999,216.9635333333333,0.2792437634047452,33.75966666666667
19761,19761,836.9,650.2119999999999,216.9635333333333,0.3048396406618411,33.75966666666667
19185,19185,836.9,650.2119999999999,216.9635333333333,0.2888422173761562,33.75966666666667
19329,19329,836.9,650.2119999999999,216.9635333333333,0.3016401560047043,33.75966666666667
21489,21489,836.9,650.2119999999999,216.9635333333333,0.2824432480618822,33.75966666666667
20733,20733,836.9,650.2119999999999,216.9635333333333,0.2856427327190192,33.75966666666667
21129,21129,836.9,650.2119999999999,216.9635333333333,0.2856427327190192,33.75966666666667
18141,18141,836.9,650.2119999999999,216.9635333333333,0.3016401560047043,33.75966666666667
20193,20193,836.9,650.2119999999999,216.9635333333333,0.3080391253189781,33.75966666666667
18393,18393,836.9,650.2119999999999,216.9635333333333,0.2888422173761562,33.75966666666667
19725,19725,836.9,650.2119999999999,216.9635333333333,0.3016401560047043,33.75966666666667
17529,17529,836.9,650.2119999999999,216.9635333333333,0.2824432480618822,33.75966666666667
