,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), -0.0, 0.0, 0.0, 0.0)"
0,0,"([29, 53, 40, 89, 51, 51, 20, 47, 22, 13, 53, 13, 28, 57, 0, 7, 96, 88, 3, 80, 57, 7, 66, 31, 53, 100, 34, 94, 93, 41, 61, 6, 43, 28, 41, 98, 47, 72, 84, 70, 43, 48, 3, 66, 88, 13, 98, 12, 12, 36], [62.88914555953221, 64.40988199925003, 84.933210111049, 84.905301493528, 66.7623090938837, 77.66095308412537, 70.99186837906035, 86.24516336061656, 88.42510147734193, 70.5865751873751, 65.03745755052742, 57.477675635120576, 75.53484370910249, 82.12313305422464, 78.28738096354081, 66.5408299065404, 73.43393801702351, 92.48679263021191, 78.1920670771824, 88.39895687248166, 65.70373233984856, 51.77656033952505, 33.70092075422387, 89.82340135239392, 77.89087515699968, 80.74534924123353, 72.88730539805283, 25.75637060850721, 65.94393974881088, 73.99064977936936, 71.59769044343422, 10.675848834211056, 80.01087354662587, 70.4767032652355, 71.84060630455242, 91.18972042079771, 58.71377099754133, 53.385516638472005, 86.21715882329967, 79.07166800822347, 81.89553928480561, 72.13338844462626, 77.99271397832005, 77.27840576048861, 67.25076369834288, 75.79374150268653, 80.57958627124998, 12, 77.69939937066653, 69.12069258881591])"
1,1,"([33, 66, 25, 64, 43, 47, 41, 60, 77, 32, 7, 6, 99, 9, 68, 85, 52, 47, 23, 79, 91, 90, 33, 93, 38, 54, 16, 24, 41, 74, 86, 29, 2, 18, 7, 37, 47, 73, 4, 66, 99, 13, 45, 2, 17, 39, 90, 24, 4, 69], [47.17289969880441, 73.79005936734654, 55.68288088182682, 31.388044736245416, 49.545065166992494, 48.161757007984946, 79.23413117543862, 52.65931964411272, 18.34256858381912, 57.506605890353455, 7, 66.47241478428582, 50.835879327369284, 17.12504152721727, 80.58910617254281, 85, 75.78073674047496, 6.238785070485583, 35.756142397227904, 12.021872248926007, 79.89040454830041, 83.90350259692482, 20.18363840316435, 41.407114282082006, 9.988893774530371, 90.18823291530569, 50.24086998776117, 79.36526073785747, 37.02088634820674, 98.58314698653481, 24.90130608343729, 46.64550688149394, 2, 70.68077152545993, 10.02012933543635, 43.60643195074411, 74.44061875262895, 59.149393448558754, 36.36374023771354, 57.28791123841225, 97.01438325646765, 36.41759692954024, 19.087144232587875, 20.691889802065113, 17, 18.376497886419017, 91.31514155734766, 41.93013492874417, 6.647410088897184, 84.7879641614876])"
2,2,"([64, 100, 82, 49, 48, 7, 35, 81, 36, 56, 21, 95, 30, 98, 82, 67, 40, 17, 71, 17, 100, 94, 4, 28, 16, 72, 56, 63, 100, 85, 3, 9, 76, 27, 61, 11, 75, 85, 15, 54, 2, 35, 46, 32, 55, 33, 60, 39, 78, 92], [90.22921366947588, 94.00361797736487, 83.91967957932177, 88.87357963270428, 53.08303365644287, 77.07249419753714, 80.65015317604234, 91.56138275027472, 71.05844285319776, 77.42251041991477, 68.41741839045449, 84.75166727850788, 78.93443058000508, 76.74149531392823, 62.54760598494802, 86.39862657780071, 80.36641627345523, 79.73467092705724, 78.30449423259878, 53.256555657168775, 89.30604220282794, 77.8927184829374, 88.71457028255429, 79.61205757862254, 75.76387468146243, 78.31885366626994, 71.86030748797259, 84.27953369787997, 65.97709100483223, 87.85364604294759, 66.63145816482177, 9, 92.80354463340433, 84.50667113432263, 87.3338870360324, 64.23660063139693, 84.76751522911329, 76.3037343553201, 15, 69.60693007607745, 69.71809575862711, 35, 75.48396301877013, 61.78484675711427, 84.61117905976496, 59.00993621777378, 84.30443523696026, 67.89435872721236, 84.43336385441279, 89.72626187915574])"
3,3,"([9, 17, 27, 88, 35, 17, 14, 3, 50, 24, 84, 29, 33, 71, 59, 86, 95, 91, 59, 49, 28, 91, 15, 92, 39, 71, 87, 13, 85, 43, 61, 3, 84, 11, 50, 19, 70, 68, 41, 70, 32, 67, 90, 59, 83, 25, 1, 22, 76, 99], [84.4960300447022, 82.43484879398672, 82.33696500946857, 82.76807308713649, 80.44841023782772, 65.76051462378044, 72.2972020825066, 62.34918965024922, 77.53943389183587, 76.43380757512712, 59.941772506484824, 78.6259529808296, 75.35515179159151, 76.200922492595, 75.94128113396891, 79.8426528910007, 85.26695642407628, 87.69241324219846, 47.82832099534338, 83.59549235536414, 28, 74.67745999192567, 81.99068897540232, 78.9269793907539, 28.63099470045212, 84.22915094694815, 81.38561551099106, 46.153056481461824, 79.02434588160914, 22.32166598931411, 61, 27.543310680237717, 75.13403541512545, 82.89451267902427, 77.94414486753472, 72.7951658633645, 86.98031250530718, 76.24161125059264, 47.78626630091124, 58.52254941159016, 75.7233100422248, 80.75124748177598, 85.75945632869954, 82.131008075881, 74.24552447409984, 80.3434068027995, 83.48758711479012, 89.6040572297385, 84.39718435196515, 78.52634684471371])"
4,4,"([62, 6, 73, 75, 33, 32, 33, 73, 32, 43, 65, 50, 94, 34, 77, 6, 35, 46, 64, 27, 66, 44, 26, 25, 30, 42, 36, 37, 12, 17, 0, 51, 18, 14, 40, 99, 54, 94, 7, 12, 24, 39, 80, 33, 13, 52, 18, 64, 71, 74], [27.060934164233696, 6, 35.72848059358978, 36.837984671489046, 25.604655164162043, 19.523570977503617, 28.2449830718644, 17.894437284969786, 15.631969440593188, 15.5082314583476, 29.059746858892552, 15.573792483435195, 17.12068129219478, 10.916880185373254, 22.372384424011983, 6, 15.00239640082864, 46, 22.041568562968607, 31.38101601065889, 26.203396092423155, 18.420260741362327, 9.468597905557047, 14.332096116863505, 19.32602936659684, 24.806841642148026, 30.990082119191882, 29.313034906043374, 21.4798791876723, 17, 3.7783319076537083, 17.00572416748974, 37.56656814764885, 19.093341861861536, 12.932671631989624, 83.83454726504098, 31.982016040600904, 33.482452518438514, 10.930846552330948, 25.348501301451954, 16.101409633241992, 28.37059318492997, 30.610602421939117, 26.667639442036407, 8.628211543967033, 25.91728671002374, 14.646605213149558, 26.019559165069808, 71, 14.665212727314351])"
5,5,"([4, 28, 36, 97, 44, 6, 89, 38, 96, 61, 65, 58, 9, 59, 82, 45, 36, 66, 44, 51, 35, 74, 14, 57, 3, 96, 85, 64, 75, 82, 56, 45, 64, 15, 87, 44, 81, 79, 44, 66, 4, 49, 56, 79, 23, 33, 61, 4, 86, 36], [50.04944983240044, 28, 49.28711605308456, 46.485672336775515, 65.28890641453269, 81.26429245480334, 74.10155253129327, 79.38646675629123, 74.73333470890933, 76.87128511668465, 68.14053863199253, 55.161754827501625, 76.09491943272657, 71.64477294967757, 47.4815440834783, 59.744576732904896, 78.56192632135915, 77.52026572109997, 74.87901110765767, 51, 33.129245912225315, 89.65651333754414, 64.72723143460112, 57, 33.746155143612434, 96, 78.83488834597333, 64, 75, 74.28657654549721, 56, 71.08876581984019, 72.62374169331117, 60.87797056894213, 85.36989240531915, 60.92913173155715, 27.708354369165164, 79.88547213033198, 60.14563495443646, 43.40488161584706, 63.60267884563262, 49, 79.98163743097464, 42.808461409220016, 23, 33, 77.64814645311532, 37.9754741734246, 86, 74.42953333439664])"
6,6,"([10, 45, 50, 45, 84, 85, 32, 95, 66, 91, 88, 95, 46, 72, 27, 16, 82, 51, 64, 77, 51, 39, 43, 48, 87, 82, 86, 57, 34, 65, 61, 35, 46, 54, 25, 47, 40, 39, 74, 29, 2, 78, 1, 57, 59, 82, 16, 58, 20, 80], [83.00274275065141, 68.77771480780825, 69.99340371642339, 80.22622197773696, 77.93678662958213, 62.98683009868799, 70.66475853945485, 76.7395971505072, 79.80183101284825, 88.78308857405636, 88.08872537178665, 90.050913020666, 78.4436984007398, 86.85657357008755, 88.56127088006073, 65.91362770174017, 73.4039334200785, 64.06896238586705, 75.33956641916504, 73.28531097343476, 68.26626293286293, 55.96070463551944, 73.48620921187711, 82.2803946190966, 87.64878014121226, 91.30545337370225, 84.60710942979881, 74.40596837425775, 82.7538920901464, 80.45286898885081, 70.79632263390403, 47.20658275349356, 74.86228967687211, 76.78366059933437, 71.89231899822903, 79.34685185666237, 57.73828025570183, 73.6005945019657, 82.92854464837788, 52.99485243668893, 2, 89.10827604683128, 73.95429560542024, 73.8602338191684, 64.03938816327172, 84.49586697730152, 75.11257246382591, 81.57078480992597, 75.41284343874037, 84.38513870853293])"
7,7,"([75, 9, 53, 75, 31, 51, 0, 44, 68, 77, 94, 62, 24, 9, 40, 22, 79, 8, 89, 41, 23, 80, 29, 48, 75, 91, 63, 39, 80, 70, 6, 87, 81, 57, 38, 24, 42, 8, 3, 52, 85, 97, 61, 72, 94, 15, 99, 69, 59, 25], [83.1102301665847, 84.17011308272046, 76.55982960928405, 74.10776625977014, 73.49723656212018, 68.25944421782037, 0, 77.41333763630402, 92.9294932463788, 76.24303118878468, 75.38777839015756, 64.23784764093959, 69.61089898286843, 70.50740365405031, 79.83629672551318, 63.96994714716149, 72.59738426293005, 8, 75.4509899499676, 60.28948633086377, 52.90722761983464, 75.86402579948708, 69.92407913644085, 48, 83.255961124491, 87.05396231852541, 63.99146906189243, 78.31790663668177, 83.17897976303861, 82.62059510462126, 69.82853326895017, 85.92387041303445, 83.99309366727354, 56.08805955232998, 61.64062134698732, 81.20702374998996, 74.13116184661328, 59.678179500984115, 81.20619373572566, 63.03691793627517, 77.35054201101505, 47.85872188960428, 80.3677687634263, 77.89933186821735, 78.85580396016624, 71.95090781207497, 84.2853051351482, 82.78122690764317, 68.74089992552197, 74.78293281908395])"
8,8,"([82, 91, 98, 15, 66, 41, 65, 53, 39, 100, 47, 51, 1, 37, 12, 35, 78, 2, 4, 54, 35, 80, 62, 61, 59, 18, 41, 93, 51, 82, 0, 87, 4, 63, 52, 86, 52, 29, 83, 7, 4, 45, 66, 29, 62, 63, 66, 51, 59, 29], [53.64839611958433, 72.71903008428771, 75.59317503429108, 15, 80.00116337825314, 56.992308024931546, 66.17830550877483, 79.88277938255112, 65.16454750058506, 80.80286228577958, 56.874117409395225, 45.09910565631335, 54.51328917397265, 60.357955332545686, 17.75996761620677, 49.051726293913894, 49.13055200061832, 74.46959218864109, 4, 54, 52.052522490099896, 76.05440799886055, 54.09383497832249, 55.29613882038956, 68.79249823344821, 50.726249212446504, 56.18492095575351, 87.74818722309982, 71.35217204682539, 50.32436471488021, 49.737240541378554, 77.82431278028085, 42.08118426194596, 77.68558092616394, 66.93226515887858, 79.9003559742377, 64.44523322680999, 56.0093831446044, 53.34139035422138, 40.47049108375515, 38.09240627163108, 21.819958344661593, 71.54438238707911, 29, 86.32226143328373, 63, 44.053664320588005, 37.168732765838584, 68.65495772871452, 68.10558963573165])"
